Ticker,Name,MIC,Date,Close,Score,RSI,RSI_cross_up,MACD_cross_up,Breakout20,Vol_spike
HTRO,Hexatronic,,2025-09-05,22.57,0.1086,58.14,False,False,False,0.0
BACTI B,Bactiguard,,2025-09-05,26.1,0.1073,42.39,False,False,False,1.073
XVIVO,Xvivo Perfusion,,2025-09-05,169.6,0.1064,39.07,False,False,False,1.064
FOI B,Fenix Outdoor,,2025-09-05,510.0,0.1063,57.97,False,False,False,0.0
BRIN B,Brinova Fastigheter,,2025-09-05,15.65,0.105,24.39,False,False,False,1.05
ALFA,Alfa Laval,,2025-09-05,433.7,0.1042,57.82,False,False,False,0.0
VBG B,VBG Group,,2025-09-05,284.8,0.1002,57.52,False,False,False,0.0
GENO,Genovis,,2025-09-05,23.0,0.0987,45.62,False,False,False,0.987
SOF B,Softronic,,2025-09-05,22.95,0.0952,57.14,True,False,False,0.0
SWEC B,Sweco B,,2025-09-05,162.5,0.0946,57.09,False,False,False,0.0
BEIA B,Beijer Alma,,2025-09-05,245.0,0.0941,33.33,False,False,False,0.941
OEM B,OEM International,,2025-09-05,129.0,0.0884,38.89,False,False,False,0.884
NBZ,Northbaze,,2025-09-05,0.144,0.0864,56.48,False,False,False,0.0
PLAZ B,Platzer Fastigheter,,2025-09-05,69.0,0.0846,51.59,True,False,False,0.634
CLAV,Clavister,,2025-09-05,4.61,0.0828,56.21,False,False,False,0.0
FASTAT,Fastator,,2025-09-05,0.829,0.0813,42.8,False,False,False,0.813
SAFETY B,mySafety,,2025-09-05,19.18,0.0794,46.6,False,False,False,0.794
BALD B,Fast Balder,,2025-09-05,67.92,0.0785,54.5,True,False,False,0.186
CI,Cell Impact,,2025-09-05,0.139,0.0771,35.0,False,False,False,0.771
AAK,AAK,,2025-09-05,262.4,0.0767,55.26,False,False,False,0.065
INTRUM,Intrum,,2025-09-05,48.74,0.0758,33.11,False,False,False,0.758
KENH,Kentima,,2025-09-05,3.0,0.0721,55.41,False,False,False,0.0
OPTI,OptiCept Technologies,,2025-09-05,5.08,0.072,55.4,False,False,False,0.0
BTS B,BTS Group,,2025-09-05,188.2,0.0711,55.33,False,False,False,0.0
KINV B,Kinnevik B,,2025-09-05,81.78,0.0704,37.36,False,False,False,0.704
CAT B,Catella B,,2025-09-05,30.05,0.0672,55.04,False,False,False,0.0
VITR,Vitrolife,,2025-09-05,137.3,0.0666,54.68,True,False,False,0.043
ELAN B,Elanders,,2025-09-05,56.3,0.0661,54.95,False,False,False,0.0
CRAD B,C-RAD,,2025-09-05,32.0,0.0655,20.0,False,False,False,0.655
DURC B,Duroc,,2025-09-05,16.75,0.065,51.85,False,False,False,0.404
PCELL,PowerCell,,2025-09-05,27.36,0.0644,35.46,False,False,False,0.644
JM,JM,,2025-09-05,131.5,0.0644,29.82,False,False,False,0.644
SNM,ShaMaran,,2025-09-05,1.43,0.0641,23.19,False,False,False,0.641
PACT,Proact IT,,2025-09-05,92.7,0.0619,54.64,False,False,False,0.0
AZN,AstraZeneca,,2025-09-05,1533.0,0.0613,54.6,False,False,False,0.0
DUNI,Duni,,2025-09-05,91.3,0.0606,54.55,True,False,False,0.0
DRIL,Drillcon,,2025-09-05,3.87,0.0606,54.55,False,False,False,0.0
PION B,PION Group,,2025-09-05,5.72,0.0603,51.15,False,False,False,0.45
KAMBI,Kambi,,2025-09-05,126.1,0.0591,22.54,False,False,False,0.591
NOBI,Nobia,,2025-09-05,4.694,0.0584,54.38,True,False,False,0.0
HNSA,Hansa Biopharma,,2025-09-05,30.76,0.0578,54.34,False,False,False,0.0
SCA B,SCA B,,2025-09-05,127.05,0.0557,54.18,True,False,False,0.0
REJL B,Rejlers,,2025-09-05,191.4,0.0547,51.79,False,False,False,0.307
BINERO,Binero Group,,2025-09-05,2.6,0.0513,53.85,False,False,False,0.0
